,australian,austrian,belgian,brazilian,canadian,chilean,chinese,colombian,cuban,czech,danish,dutch,egyptian,english,ethiopian,filipino,finnish,french,georgian,german,greek,hungarian,indian,indonesian,iranian-persian,iraqi,italian,japanese,korean,laotian,lebanese,libyan,malaysian,mexican,moroccan,new-zealand,northeastern-united-states,norwegian,pakistani,palestinian,peruvian,polish,portuguese,puerto-rican,russian,saudi-arabian,scottish,south-african,southern-united-states,southwestern-united-states,spanish,swedish,swiss,thai,turkish,venezuelan,vietnamese,welsh
hungarian,0.7077661501130282,0.7996517773384414,0.773489667,0.7708888977755245,0.8098794893740463,0.7449297992926551,0.4647454587025869,0.7070305766432228,0.684362862,0.8230573130510334,0.7387998570158524,0.7673145786313964,0.7589802211044031,0.7643794051545741,0.6587278266791143,0.6795090996582936,0.7377509685894594,0.7930650028020149,0.5975105752241123,0.8541445094977449,0.6510204762940041,1,0.6741568437913358,0.6490028492645886,0.738256568,0.7302256063440579,0.6688633506464583,0.46175649734043983,0.3600830406915491,0.41186973673416954,0.6994273985896997,0.5829632604947069,0.5622882308935516,0.716344122,0.6148950372468331,0.6976035882053786,0.8191985677559325,0.7317932033708724,0.6049553343332629,0.6424563481948751,0.6540382232417737,0.879324269,0.7854127675439099,0.6594356319435348,0.8974274482026796,0.6454578555323902,0.706607549,0.7606615545083159,0.8313477697902052,0.7311364188519632,0.7161934742213844,0.7671783377001985,0.7805407483457707,0.4147222310771922,0.7554871323197409,0.714231486,0.43242943841039144,0.6679345177901643
indian,0.6023291013868853,0.5716951892046052,0.6016449152404408,0.744565152,0.675179941,0.7301240115997257,0.5282824543725809,0.7359723135099852,0.7003637805550607,0.5597584050973571,0.5499845380337469,0.583889583,0.803663648,0.6016112610572073,0.7811453494256866,0.6935338223175972,0.5733705436794688,0.6414208275282955,0.5382206487873473,0.6424550193547861,0.5929864786128497,0.6741568437913358,1,0.8078613169202621,0.7985628588223693,0.7940491956194303,0.5841011715383869,0.4731635310593092,0.40695151077254393,0.5384022059806882,0.756867678,0.699245761,0.7740399849322747,0.7147085127005801,0.7305286525957232,0.5292414458750861,0.654562038,0.5117700493996825,0.9115344356519994,0.6905492068325377,0.7257736318463763,0.6437773639381503,0.7173646262984493,0.6704442484544388,0.6823446606483125,0.7475879977984847,0.5153734406973357,0.7649683231476471,0.6903179726722842,0.7321947650658753,0.653470694,0.5694348820267927,0.6031420017934046,0.5563500009912192,0.7405627347482509,0.7039725561622737,0.5455032149368696,0.47563742366901623
indonesian,0.6552261055572737,0.5836342851280406,0.6111955004121198,0.7672747472074692,0.7002198967442854,0.7143504079073619,0.7251346365185033,0.6913098115413844,0.7042007721107784,0.569271688,0.5656397740247664,0.5828658491184548,0.7533907593624745,0.612729944,0.7075502736174158,0.8286655374951665,0.5744765083288679,0.664857285,0.5369801244441627,0.6517387325241984,0.5961320846187822,0.6490028492645886,0.8078613169202621,1,0.7158053827080031,0.73007659,0.6090614219884986,0.6504870282585719,0.6134678403196104,0.6688328593653363,0.7085058169527215,0.60765354,0.8809347141044992,0.6696253489025411,0.6601308869429999,0.5652445061854194,0.6710213643132419,0.5338135986206202,0.7000070716119554,0.6400651089620454,0.7011313517521748,0.6421683181513332,0.7120778353712436,0.664398843,0.6797155602264499,0.6682193656905215,0.5087467702128429,0.7476507830832463,0.7057458891753243,0.6905426872306818,0.6595998693002004,0.5791884163882243,0.6165587375478817,0.7648361131249792,0.6902922598109381,0.7065266856742465,0.7239550433304758,0.4794460157081674
iranian-persian,0.679840908,0.6740294269120537,0.6887772135401903,0.7872854568122984,0.7569626082438068,0.7721528691950725,0.48859636884814633,0.7418977696188002,0.7511779341693346,0.6334643322233167,0.6479611655168406,0.6683784164263741,0.8628913574026019,0.6957449623403309,0.7438130775618832,0.6923443087516177,0.653861861,0.7471216144750132,0.6194499720251668,0.7438879789064117,0.7149697101230694,0.738256568,0.7985628588223693,0.7158053827080031,1,0.8621238586804107,0.6815809898986626,0.47863880429911143,0.40056613445769335,0.48609434181943517,0.8333642884219841,0.7316345601481731,0.6473621524549519,0.6932024325815986,0.7684376279526626,0.6108006008736485,0.7453523520312949,0.6109084355934399,0.7069989361686801,0.7800828713761807,0.7196161334831733,0.7324794861146477,0.802937253,0.7055873287629492,0.7680247821847109,0.8150320545289803,0.6091794503104092,0.7869815366475251,0.7528936789761059,0.7081857754332362,0.7434697206391762,0.6659865077283033,0.6964012080090055,0.47430513128108315,0.8457628317849288,0.7235825943886997,0.5035339644651647,0.5536847500827425
iraqi,0.6929628153470309,0.6218845229443682,0.6488505978938003,0.7870962688706978,0.7257938366000589,0.7858129593159493,0.49609289134330614,0.7551148226254003,0.7291756886976405,0.6111200253874408,0.6140501208220082,0.6262962402108061,0.8847706633273222,0.6662611227744537,0.7327060208676462,0.7078532447037368,0.6126041388143127,0.7177496914685817,0.5796486788236691,0.7066624173685394,0.70013681,0.7302256063440579,0.7940491956194303,0.73007659,0.8621238586804107,1,0.6826108858866433,0.47240154743607277,0.4021984912085972,0.5068737327460519,0.810357175,0.7281654343391777,0.6943421157886621,0.7038481603282252,0.7347801566959633,0.5935992791380992,0.7090543321595948,0.5642904476032914,0.7055120489849296,0.7633274824565751,0.7224854254839586,0.6992908352893061,0.796968883,0.7246449165536677,0.7324960641463475,0.8440447753780049,0.561684252,0.7612608892372189,0.7248351368091456,0.7099702311094319,0.7412866631929889,0.6236257273827032,0.6599767715310801,0.48039550455274754,0.8143223018701914,0.750423057,0.49700489056180536,0.5346232247995152
italian,0.7692332015577057,0.6033649966501455,0.670015834,0.7864005378100207,0.7580708370420183,0.776682351,0.44108968887722805,0.6615278912474759,0.7775206173610366,0.5850068403168746,0.5765498401739503,0.5892336595966342,0.7577361974699182,0.6846412828328811,0.6238267781104669,0.5887009325985518,0.5806755044416039,0.8320814494176524,0.5301928114727622,0.6607830146890895,0.8253411452710412,0.6688633506464583,0.5841011715383869,0.6090614219884986,0.6815809898986626,0.6826108858866433,1,0.4179940268991949,0.3819270200356235,0.4047276414185445,0.7708934040150697,0.6520185711502364,0.5201583221930264,0.6507943717232795,0.690033383,0.6093736365476797,0.7253581862478089,0.5719031955844948,0.49540012774155795,0.7123979242540153,0.6986545943200685,0.641188678,0.8438185825169736,0.7353777006364491,0.6992180483084834,0.622947406,0.5621726283614401,0.6577949885917638,0.7416060251333698,0.689545061,0.8437003656457321,0.6006997536658171,0.6807117084795625,0.44690049760163114,0.8017381052317513,0.6738141342295904,0.44491988802377996,0.5475678999859028
japanese,0.5068476384827568,0.4880995476338965,0.4428882368593938,0.5554980422587813,0.5447890620654142,0.4850702732672282,0.8476748956781115,0.5235266231447947,0.4391851233812865,0.48100762140110326,0.5169072030183202,0.47866578162913087,0.4794532842974052,0.49590366747378606,0.4189391787963567,0.7504233580272637,0.5033937198023252,0.49945564895909267,0.3627016255591574,0.540690065,0.42227718054725644,0.46175649734043983,0.4731635310593092,0.6504870282585719,0.47863880429911143,0.47240154743607277,0.4179940268991949,1,0.8270163711511026,0.5291339156963094,0.4478898954894909,0.36777542191977647,0.6158519864851615,0.43145646012637034,0.38938521,0.5025881213896166,0.5445522349524476,0.4904351353392365,0.39427981057002065,0.4290401225794198,0.48375119867027383,0.5084699211530321,0.4744541124582879,0.45635561671005803,0.5357813846668473,0.4614486276823007,0.4366816929802734,0.5540706816054368,0.5459657755344111,0.45533686977456794,0.4290274036630337,0.5130893584473514,0.4817854983339943,0.6290697309862963,0.486775603,0.5080917406144853,0.6620954043800837,0.38031241996106296
korean,0.4269495444369171,0.34479440170347847,0.33582347673215995,0.46494895338808995,0.44503652603238375,0.42543674976095186,0.8390091980203752,0.45396469668108913,0.42489667053600527,0.33873526498432655,0.35672872261000355,0.33746863786348563,0.4131354543008746,0.3595360890739318,0.3818182405607355,0.6907786968954289,0.3485014638978459,0.39581925752149916,0.299731809,0.3984646395678354,0.3579831339995173,0.3600830406915491,0.40695151077254393,0.6134678403196104,0.40056613445769335,0.4021984912085972,0.3819270200356235,0.8270163711511026,1,0.5300486053175658,0.3989835898429925,0.30979779441274125,0.5679155371135052,0.39534539211034003,0.34808418454386775,0.3735905283112646,0.4124088011953732,0.3358263267553664,0.3372556266229072,0.3546712372768857,0.4331569324428364,0.37916584083738347,0.41421932019443447,0.3990267263433184,0.422900362,0.3848514341505028,0.2993020289211082,0.43555930405342524,0.4503113550838605,0.4187272418920725,0.3839915374881492,0.35846565137846575,0.36049005664151523,0.6487011284365743,0.4048581046543618,0.42265931301071014,0.6596866346802501,0.2438602818362173
laotian,0.44774920487613984,0.3545194452599117,0.347017529,0.5432942885459257,0.4431444903838095,0.5098026687515178,0.5924011127313431,0.5251192733388996,0.47574790841707326,0.35840529199196797,0.3845068085134447,0.3512402822876481,0.49602409937747866,0.3791075124312238,0.45069295984377616,0.6432896318336534,0.3708702451790126,0.42441584308167657,0.3355928410421925,0.4254563510438395,0.40841056429107186,0.41186973673416954,0.5384022059806882,0.6688328593653363,0.48609434181943517,0.5068737327460519,0.4047276414185445,0.5291339156963094,0.5300486053175658,1,0.47485231812783646,0.40721190565827886,0.6873768857657554,0.4615725570638077,0.4105415541357271,0.3764233642002313,0.42301420301677967,0.33043906930241007,0.4656381725443991,0.43349113609426093,0.4912208966421223,0.4076896391685173,0.47361833557027344,0.4745485661704002,0.4441045081581119,0.4814765534808512,0.31295326365256027,0.49250168630854646,0.44984568402898495,0.46187074144154866,0.44092140783206996,0.37177504762298136,0.391360384,0.7764114347480828,0.4852084278462161,0.49653468034406884,0.7671167589691497,0.2528705978422114
lebanese,0.7033959975056989,0.5952118636236075,0.6484556398774305,0.7995135621052689,0.7327250658167295,0.8111558153186257,0.47620875859747896,0.7526254849655315,0.8184641447325763,0.5569189917630953,0.5592550312654787,0.5798827797988853,0.8948881949361394,0.6409185454797169,0.7554155006980598,0.6491994890450561,0.5708588174560921,0.7641615010746949,0.5906406743020679,0.6584726128370915,0.8346456689541184,0.6994273985896997,0.756867678,0.7085058169527215,0.8333642884219841,0.810357175,0.7708934040150697,0.4478898954894909,0.3989835898429925,0.47485231812783646,1,0.8233229423901529,0.6187236186454006,0.7197024792562549,0.8521968097004906,0.5567328020695104,0.6986690325598797,0.5415496848781421,0.6601140803889104,0.9161975795790113,0.7976594865133918,0.6419847455970741,0.8781892213204623,0.7731083412058182,0.7176560104810035,0.7681818234367241,0.5310545438731047,0.7097519159943201,0.7278607772562261,0.7407147710290211,0.8516082547682058,0.578904099,0.6449998664621996,0.4777352939813073,0.9302841207811955,0.7316087736626962,0.49152046178550307,0.49411634846708435
libyan,0.607745685,0.45420156125204947,0.5078563026272765,0.6981997737610867,0.5927343266289459,0.7174195426239032,0.39502905259066623,0.6629556133552944,0.7389878708326985,0.4393959432856509,0.4366761455410601,0.4556600690542838,0.8160137025467756,0.526299519,0.6842058285515982,0.5544818739850819,0.45684625288760833,0.6295798579649693,0.4449410203165501,0.5284358151650553,0.727304101,0.5829632604947069,0.699245761,0.60765354,0.7316345601481731,0.7281654343391777,0.6520185711502364,0.36777542191977647,0.30979779441274125,0.40721190565827886,0.8233229423901529,1,0.5633881256412654,0.63995683,0.8346088761663024,0.45336436748393016,0.5643804457891031,0.4056916321648332,0.5768704066542479,0.8044048756322453,0.7061818986943127,0.5156220167401248,0.7704001578542404,0.7157773469547949,0.5768128933930695,0.7324575439957242,0.41736178668684465,0.6074489266173752,0.5820291667697648,0.6495776926021773,0.7462524592609195,0.45122357375207867,0.5166719905383793,0.4010849162980439,0.7978736796139756,0.6045945904363674,0.39502370413606275,0.37530486452279455
malaysian,0.5745074867276364,0.48320137967188115,0.4987257709246695,0.6937112014367406,0.581506372,0.6275629501389248,0.6913286359978958,0.624148463,0.6197394273348437,0.48712727981417886,0.49338216893554104,0.48907473997209167,0.663651838,0.5203951748839819,0.6471400804329349,0.7710567314273433,0.4908831846441271,0.5652655719147259,0.4387001848972802,0.5593623075943801,0.5088570845159279,0.5622882308935516,0.7740399849322747,0.8809347141044992,0.6473621524549519,0.6943421157886621,0.5201583221930264,0.6158519864851615,0.5679155371135052,0.6873768857657554,0.6187236186454006,0.5633881256412654,1,0.5911597515746363,0.583852317,0.48388439487919055,0.566735668,0.44739086931944805,0.6665704703251225,0.569987642,0.6315233746063816,0.5477809926248663,0.6301296482932517,0.6182058190871805,0.5810203870119122,0.6615901070687735,0.4308303734525856,0.6746333323423163,0.5887356560131058,0.60276284,0.5755157631244449,0.4990291446036348,0.518504917,0.7529007078402911,0.6042483759917402,0.6275087498589154,0.7184754972973644,0.37562480934464204
mexican,0.6296634290740686,0.5596044060885111,0.5819419509287342,0.7686850141449595,0.691897409,0.8040907045030516,0.4701919914545867,0.7653537400770279,0.7838132689459006,0.5627198785836438,0.527876839,0.5523562895505391,0.7674178562683928,0.5984843853398424,0.6342851804117715,0.6242763867288773,0.5356440352157292,0.6571517647678569,0.5334465189200475,0.6312963847046643,0.6519532326129905,0.716344122,0.7147085127005801,0.6696253489025411,0.6932024325815986,0.7038481603282252,0.6507943717232795,0.43145646012637034,0.39534539211034003,0.4615725570638077,0.7197024792562549,0.63995683,0.5911597515746363,1,0.689678606,0.5380003474044212,0.6626037139996712,0.5081122468913947,0.6339962222382075,0.6583226847817834,0.7733834174621067,0.6539173575302283,0.7264674935209426,0.7192493722345353,0.7089172193187803,0.6322169699202332,0.49297966581789476,0.6486977288349355,0.73298609,0.9675113526071467,0.7124227857103557,0.5518095437942981,0.5986372935999305,0.5212900596038962,0.722249463,0.7201569606328626,0.49728116401463685,0.48290196918106054
moroccan,0.6673359935116185,0.49701706093784265,0.5412931037870016,0.7276907859814009,0.6260078828652003,0.7747877665000266,0.4155465738165126,0.6774405909344233,0.8030405031270201,0.4440891054533599,0.43797957021080625,0.48142786790394265,0.8503111056975564,0.5717529256595396,0.74953829,0.5468093278773913,0.45010368684433366,0.6712724715044829,0.4729003701838566,0.5465073291353568,0.7550997188201842,0.6148950372468331,0.7305286525957232,0.6601308869429999,0.7684376279526626,0.7347801566959633,0.690033383,0.38938521,0.34808418454386775,0.4105415541357271,0.8521968097004906,0.8346088761663024,0.583852317,0.689678606,1,0.47789137267491405,0.5960045281049473,0.4256192759015533,0.5876017188544639,0.778242732,0.7725685600627685,0.5216098742392374,0.8090198984702192,0.7186295837804842,0.6059540557406146,0.7288323890771705,0.4384639721585893,0.6367714381590536,0.6286042888246581,0.7135192936274657,0.8280085453763513,0.46963060338652407,0.5354043117900631,0.4762802585643104,0.8219311117209126,0.6449821986409814,0.4437330061358358,0.41585154171814437
new-zealand,0.8465577994143676,0.8698294775010625,0.8057311224192225,0.7621832158643788,0.8774897405587375,0.6191958808662442,0.45918163125816436,0.6534889066804819,0.5480310326902915,0.8686423895596275,0.9032449782909245,0.9015765295970937,0.6269110011782038,0.926427951,0.49137478937520235,0.5937984798500072,0.883471388,0.816763178,0.598368977,0.875526166,0.6099789771421833,0.6976035882053786,0.5292414458750861,0.5652445061854194,0.6108006008736485,0.5935992791380992,0.6093736365476797,0.5025881213896166,0.3735905283112646,0.3764233642002313,0.5567328020695104,0.45336436748393016,0.48388439487919055,0.5380003474044212,0.47789137267491405,1,0.8944616992728514,0.9051078428589824,0.44602173810027695,0.5195264646134157,0.5024325158037004,0.830445604,0.6565789183420407,0.5479004326872388,0.7892328337084853,0.5805544691948752,0.8797912165449104,0.8641098149843699,0.8280877392262741,0.5846439894286621,0.5710113781931296,0.9067191813966391,0.8439402768891985,0.3901638684823565,0.6720835125324307,0.6637802301341349,0.42709615305440046,0.8307029575489936
